Rank;Team;Total Points;Previous Points;+/-;Positions;Avg.;AVG WGT;Avg.;AVG WGT;Avg.;AVG WGT;Avg.;AVG WGT
119;SURSuriname;284(283.65);284;0;;272.00;272.00;0.00;0.00;21.25;6.38;26.40;5.28
120;IRQIraq;280(280.11);278;0;;109.65;109.65;157.68;78.84;218.68;65.60;130.09;26.02
121;BOTBotswana;273(273.2);276;0;;67.76;67.76;242.04;121.02;119.88;35.96;242.32;48.46
122;LVALatvia;271(271.48);265;2;;95.15;95.15;141.64;70.82;240.22;72.06;167.20;33.44
122;GEOGeorgia;271(270.8);274;0;;156.24;156.24;165.72;82.86;27.23;8.17;117.66;23.53
124;YEMYemen;268(267.68);268;-1;;212.93;212.93;44.63;22.31;89.04;26.71;28.67;5.73
125;ETHEthiopia;265(264.61);265;-1;;127.50;127.50;123.58;61.79;156.04;46.81;142.58;28.52
126;PHIPhilippines;251(251.48);254;1;;105.12;105.12;208.01;104.01;67.72;20.32;110.19;22.04
127;THAThailand;249(248.72);245;2;;97.85;97.85;203.43;101.72;124.95;37.49;58.34;11.67
128;RWARwanda;246(245.62);285;-10;;70.13;70.13;167.08;83.54;205.02;61.51;152.25;30.45
129;CTACentral African Republic;237(236.7);239;1;;98.18;98.18;268.46;134.23;0.00;0.00;21.50;4.30
130;NIGNiger;236(236.13);235;1;;98.18;98.18;163.94;81.97;119.74;35.92;100.30;20.06
131;VIEVietnam;235(235.2);217;5;;98.32;98.32;176.38;88.19;82.51;24.75;119.71;23.94
132;KGZKyrgyzstan;233(232.6);250;-4;;92.41;92.41;255.80;127.90;0.00;0.00;61.46;12.29
133;PURPuerto Rico;232(231.87);221;1;;159.73;159.73;116.73;58.37;45.90;13.77;0.00;0.00
133;BHRBahrain;232(231.59);232;-1;;93.39;93.39;127.16;63.58;147.44;44.23;151.92;30.38
135;LIBLebanon;228(228.27);216;2;;132.72;132.72;111.75;55.87;49.30;14.79;124.40;24.88
136;MKDFYR Macedonia;218(217.8);225;-3;;107.34;107.34;81.38;40.69;94.55;28.37;207.00;41.40
137;TJKTajikistan;205(204.8);205;1;;142.42;142.42;67.47;33.73;49.73;14.92;68.63;13.73
138;GUYGuyana;194(194.06);194;1;;63.75;63.75;227.80;113.90;54.68;16.40;0.00;0.00
139;TANTanzania;193(192.79);218;-4;;73.95;73.95;149.43;74.72;69.89;20.97;115.78;23.16
140;LESLesotho;190(190.24);181;9;;97.92;97.92;69.08;34.54;119.20;35.76;110.08;22.02
141;ANGAngola;188(188.19);189;3;;44.47;44.47;114.11;57.06;182.75;54.83;159.23;31.85
141;BLZBelize;188(187.72);188;4;;43.11;43.11;255.85;127.93;42.50;12.75;19.71;3.94
143;TKMTurkmenistan;187(186.8);193;-3;;63.75;63.75;220.29;110.15;0.00;0.00;64.50;12.90
144;COMComoros;186(185.92);190;-1;;104.41;104.41;137.36;68.68;0.00;0.00;64.16;12.83
145;DOMDominican Republic;184(183.87);184;3;;107.61;107.61;72.68;36.34;133.08;39.92;0.00;0.00
145;LUXLuxembourg;184(183.72);185;2;;50.56;50.56;159.66;79.83;66.89;20.07;166.30;33.26
147;SSDSouth Sudan;183(182.71);186;-1;;95.63;95.63;159.38;79.69;0.00;0.00;36.98;7.40
148;HKGHong Kong;179(179.46);179;2;;69.45;69.45;176.18;88.09;58.76;17.63;21.50;4.30
148;BDIBurundi;179(179.42);192;-7;;51.00;51.00;182.11;91.06;72.25;21.68;78.44;15.69
150;MRIMauritius;175(174.82);147;7;;54.40;54.40;193.64;96.82;59.33;17.80;28.99;5.80
151;LBRLiberia;174(174.07);192;-10;;44.63;44.63;228.44;114.22;0.00;0.00;76.11;15.22
151;TAHTahiti;174(173.54);167;2;;141.67;141.67;63.75;31.88;0.00;0.00;0.00;0.00
153;PNGPapua New Guinea;169(168.82);154;3;;145.44;145.44;46.75;23.38;0.00;0.00;0.00;0.00
154;CHAChad;168(168.47);179;-4;;0.00;0.00;293.25;146.63;0.00;0.00;109.22;21.84
155;MASMalaysia;148(147.86);145;3;;90.45;90.45;56.23;28.12;47.27;14.18;75.52;15.10
156;MDVMaldives;146(145.64);175;-4;;92.08;92.08;68.00;34.00;0.00;0.00;97.81;19.56
157;SINSingapore;143(143.45);141;3;;39.79;39.79;138.70;69.35;60.81;18.24;80.33;16.07
158;SDNSudan;140(140.41);155;-3;;0.00;0.00;128.30;64.15;173.19;51.96;121.51;24.30
158;AFGAfghanistan;140(140.09);161;-4;;61.20;61.20;101.43;50.72;25.50;7.65;102.63;20.53
160;TPEChinese Taipei;136(136.14);136;1;;107.33;107.33;18.21;9.11;45.37;13.61;30.44;6.09
161;MDAMoldova;135(135.11);142;-2;;49.71;49.71;44.20;22.10;62.31;18.69;223.03;44.61
162;NCLNew Caledonia;133(133.27);121;3;;122.64;122.64;21.25;10.63;0.00;0.00;0.00;0.00
163;MYAMyanmar;132(131.65);120;3;;51.85;51.85;78.07;39.03;92.88;27.86;64.50;12.90
164;GRNGrenada;131(130.61);117;5;;42.33;42.33;127.50;63.75;56.53;16.96;37.84;7.57
165;CUBCuba;124(124.13);124;-2;;0.00;0.00;116.68;58.34;127.99;38.40;136.98;27.40
166;BHUBhutan;123(123.25);123;-2;;85.00;85.00;0.00;0.00;127.50;38.25;0.00;0.00
167;GAMGambia;120(120.01);120;-1;;46.92;46.92;83.02;41.51;43.35;13.01;92.88;18.58
168;KUWKuwait;118(118.33);120;-2;;0.00;0.00;140.20;70.10;79.23;23.77;122.28;24.46
169;NEPNepal;116(115.75);110;4;;76.50;76.50;47.81;23.91;21.25;6.38;44.84;8.97
169;BRBBarbados;116(115.74);110;4;;0.00;0.00;141.95;70.98;149.22;44.77;0.00;0.00
171;ARUAruba;114(114.11);127;-9;;0.00;0.00;161.50;80.75;0.00;0.00;166.80;33.36
172;LAOLaos;113(113.38);107;4;;60.48;60.48;67.11;33.56;42.50;12.75;32.97;6.59
173;KVXKosovo;112(112.28);112;-1;;112.28;112.28;0.00;0.00;0.00;0.00;0.00;0.00
174;CAMCambodia;107(107.44);108;1;;66.41;66.41;38.02;19.01;73.41;22.02;0.00;0.00
175;IDNIndonesia;105(105.34);105;2;;70.05;70.05;0.00;0.00;70.38;21.11;70.87;14.17
176;VINSt. Vincent and the Grenadines;104(103.58);116;-6;;0.00;0.00;74.09;37.05;172.98;51.89;73.22;14.64
177;LCASt. Lucia;102(102.32);115;-6;;0.00;0.00;122.40;61.20;78.63;23.59;87.65;17.53
178;STPSão Tomé e Príncipe;98(98.28);98;0;;0.00;0.00;196.56;98.28;0.00;0.00;0.00;0.00
179;VANVanuatu;94(93.5);94;0;;63.75;63.75;59.50;29.75;0.00;0.00;0.00;0.00
180;SOLSolomon Islands;90(89.78);92;0;;45.16;45.16;89.25;44.63;0.00;0.00;0.00;0.00
181;FIJFiji;87(86.77);90;0;;35.42;35.42;102.71;51.35;0.00;0.00;0.00;0.00
182;MLTMalta;84(83.54);86;0;;11.74;11.74;64.57;32.29;49.85;14.96;122.81;24.56
183;GUMGuam;82(81.72);82;0;;0.00;0.00;113.42;56.71;54.64;16.39;43.10;8.62
184;MACMacau;77(76.55);77;0;;53.13;53.13;8.50;4.25;63.92;19.18;0.00;0.00
185;BERBermuda;75(75.44);75;0;;0.00;0.00;53.98;26.99;161.50;48.45;0.00;0.00
186;LIELiechtenstein;69(69.43);64;3;;0.00;0.00;26.87;13.44;162.64;48.79;36.00;7.20
